# accuracy_goal: 1e-06
#                  sigma                     qmin                     qmax                optimal_a              min_samples            best_integral      best_integral_qmin0          finite_integral            full_integral      rel_err_best-finite        rel_err_best-full   rel_err_bestqmin0_best   rel_err_bestqmin0_full
3.500000000000000333e-01 1.026627721002258964e-01 7.624034713164985710e+00 3.710000000000000142e+01 9.000000000000000000e+00 1.399248329271227109e-02 1.164659483568788664e-02 1.399248306971225507e-02 1.399249704101569215e-02 1.593712959390242884e-08 9.825482457319905272e-07 1.676534756519021674e-01 1.676542934725195055e-01
3.600000000000000422e-01 9.410372857227065901e-02 8.200192336501237023e+00 3.420000000000000284e+01 9.000000000000000000e+00 1.444676154189739048e-02 1.724071668123425272e-02 1.444676213133040156e-02 1.444677578093095556e-02 4.080035413626126551e-08 9.856201675030720623e-07 1.933966398790516183e-01 1.933954636432555219e-01
3.699999999999999956e-01 8.670552902754241620e-02 8.770884226333688360e+00 3.150000000000000355e+01 9.000000000000000000e+00 1.492922255503595363e-02 2.284216086890037203e-02 1.492921880500067307e-02 1.492923334571528982e-02 2.511876428062556007e-07 7.227885777053718240e-07 5.300301663193580648e-01 5.300290604310302633e-01
3.800000000000000044e-01 7.931722228219155457e-02 9.445136898007531201e+00 2.970000000000000284e+01 9.000000000000000000e+00 1.544170091264045371e-02 2.762252692953429817e-02 1.544167982395665967e-02 1.544169410361010027e-02 1.365698812205660485e-06 4.409509933140442845e-07 7.888267028227905486e-01 7.888274916077020471e-01
3.900000000000000133e-01 7.295412267903571280e-02 1.011201672973480825e+01 3.000000000000000444e+00 1.300000000000000000e+01 1.598613013030941027e-02 1.598479999311544844e-02 1.598611135350860510e-02 1.598612662736946868e-02 1.174569624216285708e-06 2.191237454348727225e-07 8.320570288865045496e-05 8.298659737556085059e-05
4.000000000000000222e-01 6.704796355014318310e-02 1.083029220612532662e+01 2.630000000000000426e+01 9.000000000000000000e+00 1.656464796194078229e-02 3.333387362575643970e-02 1.656463949290359894e-02 1.656465585844748428e-02 5.112720495353292890e-07 4.767081652327941933e-07 1.012350259561502153e+00 1.012349300257701978e+00
4.100000000000000311e-01 6.115668249864750911e-02 1.168278209829652603e+01 2.500000000000000444e+00 1.300000000000000000e+01 1.717959342466405734e-02 1.717718503699681293e-02 1.717956022142529821e-02 1.717957641098343327e-02 1.932717620892527200e-06 9.903434297244896836e-07 1.401888628974644129e-04 1.391986583028592098e-04
4.200000000000000400e-01 5.610940726135778961e-02 1.252406249089633405e+01 3.100000000000000089e+00 1.300000000000000000e+01 1.783335855386781674e-02 1.783170156704837889e-02 1.783334971387950246e-02 1.783336712896216661e-02 4.956998239873113094e-07 4.808455009007012751e-07 9.291501734980098562e-05 9.339581817293362827e-05
4.299999999999999933e-01 5.107987164879936037e-02 1.352533726140106651e+01 3.200000000000000178e+00 1.300000000000000000e+01 1.852872225680723614e-02 1.852675810572341694e-02 1.852868970961494416e-02 1.852870702202340583e-02 1.756583590208881312e-06 8.222259552272512791e-07 1.060057491604739574e-04 1.051836103659250783e-04
4.400000000000000022e-01 4.678498660182200258e-02 1.451224718876218667e+01 3.200000000000000178e+00 1.300000000000000000e+01 1.926848727449022997e-02 1.926738114563857421e-02 1.926847402408763538e-02 1.926849271884947118e-02 6.876726500513001209e-07 2.825524196756440748e-07 5.740610749034638887e-05 5.768864368978746007e-05
4.500000000000000111e-01 4.250962677611725554e-02 1.569001803688371233e+01 2.190000000000000213e+01 9.000000000000000000e+00 2.005587549723540988e-02 2.927016951694706368e-02 2.005583891819632744e-02 2.005585759203631566e-02 1.823859836112513943e-06 8.927665651822110806e-07 4.594311537774450338e-01 4.594324567087833544e-01
4.600000000000000200e-01 3.887026491525344407e-02 1.684957979869257372e+01 2.120000000000000284e+01 9.000000000000000000e+00 2.089417247833381605e-02 2.708063388739061217e-02 2.089417248399806290e-02 2.089419272502889696e-02 2.710921838935275459e-10 9.690106407728195319e-07 2.960854953921644439e-01 2.960842394715280657e-01
4.700000000000000289e-01 3.525131629484181545e-02 1.823699838217223501e+01 4.000000000000000000e+00 1.300000000000000000e+01 2.178717820477637374e-02 2.178951492146253069e-02 2.178714959679359242e-02 2.178716991028254932e-02 1.313066799042166915e-06 3.807054270276381098e-07 1.072519196471564219e-04 1.076326659055719241e-04
4.800000000000000377e-01 3.218008770785363293e-02 1.960152583404813953e+01 2.020000000000000284e+01 9.000000000000000000e+00 2.273876109233637782e-02 2.298426927433322442e-02 2.273874478883106467e-02 2.273876688852515329e-02 7.169923170585812792e-07 2.549033904910126131e-07 1.079690230263204501e-02 1.079664464707455127e-02
